order,fullOrder,linkToOrder,linkToVotes,youtubeUrl
Alkoholio kontrolės įstatymas,"Lietuvos Respublikos alkoholio kontrolės įstatymo Nr. I-857 2, 16, 16-1, 17, 18, 22, 28, 29 ir 34 straipsnių pakeitimo įstatymas",https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/c89f8b324b5211e78869ae36ddd5784f?jfwid=11raxi8twd,https://www.lrs.lt/sip/portal.show?p_r=37067&p_k=1&p_kade_id=8&p_ses_id=109&p_fakt_pos_id=-501155&p_bals_id=-26416#balsKlausimas,https://www.youtube.com/watch?v=lFZ8yO0Rw4M
Karantino įvedimas,Dėl karantino Lietuvos Respublikos teritorijoje paskelbimo,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/deaf8694663011eaa02cacf2a861120c?jfwid=11p6e3gcz8,,https://www.youtube.com/watch?v=TVDzKvFC_JI&feature=emb_title
Naujasis darbo kodeksas,"LIETUVOS RESPUBLIKOS DARBO KODEKSO PATVIRTINIMO, ĮSIGALIOJIMO IR ĮGYVENDINIMO ĮSTATYMAS",https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/10c6bfd07bd511e6a0f68fd135e6f40c?jfwid=nj21znl9c,https://www.lrs.lt/sip/portal.show?p_r=37067&p_k=1&p_kade_id=7&p_ses_id=106&p_fakt_pos_id=-501047&p_bals_id=-24170#balsKlausimas,
Pensijų kaupimo reforma,,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/028b05207b9c11e89188e16a6495e98c?jfwid=nj21znmj6,https://www.lrs.lt/sip/portal.show?p_r=37067&p_k=1&p_kade_id=8&p_ses_id=111&p_fakt_pos_id=-501268&p_bals_id=-30826#balsKlausimas,https://www.youtube.com/watch?v=0nEfsyL5y2A&feature=emb_title
Dvigubos pilietybės referendumo ,,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/b1554fb0d6ab11e8a3fadd00a256c61a?jfwid=nj21zovfe,https://www.lrs.lt/sip/portal.show?p_r=37067&p_k=1&p_kade_id=8&p_ses_id=112&p_fakt_pos_id=-501301&p_bals_id=-31864#balsKlausimas,https://www.youtube.com/watch?v=rt8hkrQgZBI
Seimo narių skaičiaus mažinimo referendumas,,https://e-seimas.lrs.lt/portal/legalAct/lt/TAP/60475590305211e9a505bd13c24940c9,https://www.lrs.lt/sip/portal.show?p_r=37067&p_k=1&p_kade_id=8&p_ses_id=112&p_fakt_pos_id=-501339&p_bals_id=-33602#balsKlausimas,https://www.youtube.com/watch?v=MVZaWOsEdeU
Vaiko teisio apsaugos įstatymas,,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/7d592952f37411e6be918a531b2126ab?jfwid=nj21zow1x,https://www.lrs.lt/sip/portal.show?p_r=37067&p_k=1&p_kade_id=8&p_ses_id=108&p_fakt_pos_id=-501097&p_bals_id=-25491#balsKlausimas,https://www.youtube.com/watch?v=sAsQhEIHvoc
Miškų įstatymas,,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/983dc70166c711e7a53b83ca0142260e?jfwid=nj21zowhs,https://www.lrs.lt/sip/portal.show?p_r=37067&p_k=1&p_kade_id=8&p_ses_id=109&p_fakt_pos_id=-501165&p_bals_id=-27100#balsKlausimas,https://www.youtube.com/watch?v=t5wcVxp3g-U
Nauja biudžetinių įstaigų darbuotojų atlyginimų tvarka,,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/c6dd7dc2e23411e6be918a531b2126ab?jfwid=nj21zoxk0,https://www.lrs.lt/sip/portal.show?p_r=37067&p_k=1&p_kade_id=8&p_ses_id=107&p_fakt_pos_id=-501095&p_bals_id=-25473#balsKlausimas,https://www.youtube.com/watch?v=ufQhJv7VqsY&t=67s
Saugomų teritorijų įstatymo patasos,,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/11eab3f2969011e68adcda1bb2f432d1?jfwid=nj21zoxo3,https://www.lrs.lt/sip/portal.show?p_r=37067&p_k=1&p_kade_id=7&p_ses_id=106&p_fakt_pos_id=-501055&p_bals_id=-24554#balsKlausimas,https://www.youtube.com/watch?v=RF37AIPBvfo
Pagalbinio apvaisinimo įstatymą,,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/f31c44c27bd711e6a0f68fd135e6f40c?jfwid=nj21zoxwl,https://www.lrs.lt/sip/portal.show?p_r=37067&p_k=1&p_kade_id=7&p_ses_id=106&p_fakt_pos_id=-501047&p_bals_id=-24176#balsKlausimas,https://www.youtube.com/watch?v=ye5R5SsX9TY
"Įstatymas, leidžiantis šauliams ir kariams savanoriams turėti ginklą namuose",,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/e889e58037ad11e6a222b0cd86c2adfc?jfwid=nj21zoy1k,https://www.lrs.lt/sip/portal.show?p_r=37067&p_k=1&p_kade_id=7&p_ses_id=105&p_fakt_pos_id=-501024&p_bals_id=-23365#balsKlausimas,https://www.youtube.com/watch?v=KolVa0YMc3I
Pranešėjų apsaugos įstatymas,,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/3832a702d8ea11e782d4fd2c44cc67af?jfwid=nj21zoy58,https://www.lrs.lt/sip/portal.show?p_r=37067&p_k=1&p_kade_id=8&p_ses_id=110&p_fakt_pos_id=-501213&p_bals_id=-27939#balsKlausimas,https://www.youtube.com/watch?v=bFqxFHBD_Zg
Vietos savivaldos reglamentavimo pakeitimai,,https://e-seimas.lrs.lt/portal/legalAct/lt/TAP/15069931800311e6a0f68fd135e6f40c,https://www.lrs.lt/sip/portal.show?p_r=37067&p_k=1&p_kade_id=7&p_ses_id=106&p_fakt_pos_id=-501051&p_bals_id=-24319#balsKlausimas,https://www.youtube.com/watch?v=LORJLqrzXNY
Galimybę perkelti pabėgėlius,,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/9aec8760943811e59c9a8f8c9980906b?jfwid=nj21zoyg6,https://www.lrs.lt/sip/portal.show?p_r=37067&p_k=1&p_kade_id=7&p_ses_id=103&p_fakt_pos_id=-500961&p_bals_id=-21592#balsKlausimas,https://www.youtube.com/watch?v=sps6AY81Rlo